w L
319000.000 -131.800
320000.000 -131.827
321000.000 -131.854
322000.000 -131.881
323000.000 -131.908
324000.000 -131.935
325000.000 -131.961
326000.000 -131.988
327000.000 -132.015
328000.000 -132.041
329000.000 -132.068
330000.000 -132.094
331000.000 -132.120
332000.000 -132.146
333000.000 -132.173
334000.000 -132.199
335000.000 -132.225
336000.000 -132.251
337000.000 -132.276
338000.000 -132.302
339000.000 -132.328
340000.000 -132.353
341000.000 -132.379
342000.000 -132.404
343000.000 -132.430
344000.000 -132.455
345000.000 -132.480
346000.000 -132.505
347000.000 -132.530
348000.000 -132.555
349000.000 -132.580
350000.000 -132.605
351000.000 -132.630
352000.000 -132.655
353000.000 -132.679
354000.000 -132.704
355000.000 -132.728
356000.000 -132.753
357000.000 -132.777
358000.000 -132.801
359000.000 -132.826
360000.000 -132.850
361000.000 -132.874
362000.000 -132.898
363000.000 -132.922
364000.000 -132.946
365000.000 -132.970
366000.000 -132.993
367000.000 -133.017
368000.000 -133.041
369000.000 -133.064
370000.000 -133.088
371000.000 -133.111
372000.000 -133.135
373000.000 -133.158
374000.000 -133.181
375000.000 -133.204
376000.000 -133.227
377000.000 -133.251
378000.000 -133.274
379000.000 -133.297
380000.000 -133.319
381000.000 -133.342
382000.000 -133.365
383000.000 -133.388
384000.000 -133.410
385000.000 -133.433
386000.000 -133.455
387000.000 -133.478
388000.000 -133.500
389000.000 -133.523
390000.000 -133.545
391000.000 -133.567
392000.000 -133.589
393000.000 -133.612
394000.000 -133.634
395000.000 -133.656
396000.000 -133.678
397000.000 -133.700
398000.000 -133.721
399000.000 -133.743
400000.000 -133.765
401000.000 -133.787
402000.000 -133.808
403000.000 -133.830
404000.000 -133.851
405000.000 -133.873
406000.000 -133.894
407000.000 -133.916
408000.000 -133.937
409000.000 -133.958
410000.000 -133.979
411000.000 -134.001
412000.000 -134.022
413000.000 -134.043
414000.000 -134.064
415000.000 -134.085
416000.000 -134.106
417000.000 -134.126
418000.000 -134.147
419000.000 -134.168
420000.000 -134.189
421000.000 -134.209
422000.000 -134.230
423000.000 -134.251
424000.000 -134.271
425000.000 -134.292
426000.000 -134.312
427000.000 -134.332
428000.000 -134.353
429000.000 -134.373
430000.000 -134.393
431000.000 -134.413
432000.000 -134.433
433000.000 -134.453
434000.000 -134.474
435000.000 -134.494
436000.000 -134.513
437000.000 -134.533
438000.000 -134.553
439000.000 -134.573
440000.000 -134.593
441000.000 -134.612
442000.000 -134.632
443000.000 -134.652
444000.000 -134.671
445000.000 -134.691
446000.000 -134.710
447000.000 -134.730
448000.000 -134.749
449000.000 -134.769
450000.000 -134.788
451000.000 -134.807
452000.000 -134.826
453000.000 -134.846
454000.000 -134.865
455000.000 -134.884
456000.000 -134.903
457000.000 -134.922
458000.000 -134.941
459000.000 -134.960
460000.000 -134.979
461000.000 -134.998
462000.000 -135.017
463000.000 -135.035
464000.000 -135.054
465000.000 -135.073
466000.000 -135.091
467000.000 -135.110
468000.000 -135.129
469000.000 -135.147
470000.000 -135.166
471000.000 -135.184
472000.000 -135.203
473000.000 -135.221
474000.000 -135.239
475000.000 -135.258
476000.000 -135.276
477000.000 -135.294
478000.000 -135.312
479000.000 -135.330
480000.000 -135.349
481000.000 -135.367
482000.000 -135.385
483000.000 -135.403
484000.000 -135.421
485000.000 -135.439
486000.000 -135.456
487000.000 -135.474
488000.000 -135.492
489000.000 -135.510
490000.000 -135.528
491000.000 -135.545
492000.000 -135.563
493000.000 -135.581
494000.000 -135.598
495000.000 -135.616
496000.000 -135.633
497000.000 -135.651
498000.000 -135.668
499000.000 -135.686
500000.000 -135.703
501000.000 -135.720
502000.000 -135.738
503000.000 -135.755
504000.000 -135.772
505000.000 -135.790
506000.000 -135.807
507000.000 -135.824
508000.000 -135.841
509000.000 -135.858
510000.000 -135.875
511000.000 -135.892
512000.000 -135.909
513000.000 -135.926
514000.000 -135.943
515000.000 -135.960
516000.000 -135.977
517000.000 -135.994
518000.000 -136.010
519000.000 -136.027
520000.000 -136.044
521000.000 -136.060
522000.000 -136.077
523000.000 -136.094
524000.000 -136.110
525000.000 -136.127
526000.000 -136.143
527000.000 -136.160
528000.000 -136.176
529000.000 -136.193
530000.000 -136.209
531000.000 -136.226
532000.000 -136.242
533000.000 -136.258
534000.000 -136.275
535000.000 -136.291
536000.000 -136.307
537000.000 -136.323
538000.000 -136.339
539000.000 -136.355
540000.000 -136.372
541000.000 -136.388
542000.000 -136.404
543000.000 -136.420
544000.000 -136.436
545000.000 -136.452
546000.000 -136.468
547000.000 -136.483
548000.000 -136.499
549000.000 -136.515
550000.000 -136.531
551000.000 -136.547
552000.000 -136.563
553000.000 -136.578
554000.000 -136.594
555000.000 -136.610
556000.000 -136.625
557000.000 -136.641
558000.000 -136.656
559000.000 -136.672
560000.000 -136.687
561000.000 -136.703
562000.000 -136.718
563000.000 -136.734
564000.000 -136.749
565000.000 -136.765
566000.000 -136.780
567000.000 -136.795
568000.000 -136.811
569000.000 -136.826
570000.000 -136.841
571000.000 -136.856
572000.000 -136.872
573000.000 -136.887
574000.000 -136.902
575000.000 -136.917
576000.000 -136.932
577000.000 -136.947
578000.000 -136.962
579000.000 -136.977
580000.000 -136.992
581000.000 -137.007
582000.000 -137.022
583000.000 -137.037
584000.000 -137.052
585000.000 -137.067
586000.000 -137.082
587000.000 -137.096
588000.000 -137.111
589000.000 -137.126
590000.000 -137.141
591000.000 -137.155
592000.000 -137.170
593000.000 -137.185
594000.000 -137.199
595000.000 -137.214
596000.000 -137.229
597000.000 -137.243
598000.000 -137.258
599000.000 -137.272
600000.000 -137.287
601000.000 -137.301
602000.000 -137.316
603000.000 -137.330
604000.000 -137.344
605000.000 -137.359
606000.000 -137.373
607000.000 -137.387
608000.000 -137.402
609000.000 -137.416
610000.000 -137.430
611000.000 -137.445
612000.000 -137.459
613000.000 -137.473
614000.000 -137.487
615000.000 -137.501
616000.000 -137.515
617000.000 -137.529
618000.000 -137.543
619000.000 -137.558
620000.000 -137.572
621000.000 -137.586
622000.000 -137.600
623000.000 -137.613
624000.000 -137.627
625000.000 -137.641
626000.000 -137.655
627000.000 -137.669
628000.000 -137.683
629000.000 -137.697
630000.000 -137.711
631000.000 -137.724
632000.000 -137.738
633000.000 -137.752
634000.000 -137.766
635000.000 -137.779
636000.000 -137.793
637000.000 -137.807
638000.000 -137.820
639000.000 -137.834
640000.000 -137.847
641000.000 -137.861
642000.000 -137.874
643000.000 -137.888
644000.000 -137.901
645000.000 -137.915
646000.000 -137.928
647000.000 -137.942
648000.000 -137.955
649000.000 -137.969
650000.000 -137.982
651000.000 -137.995
652000.000 -138.009
653000.000 -138.022
654000.000 -138.035
655000.000 -138.049
656000.000 -138.062
657000.000 -138.075
658000.000 -138.088
659000.000 -138.101
660000.000 -138.115
661000.000 -138.128
662000.000 -138.141
663000.000 -138.154
664000.000 -138.167
665000.000 -138.180
666000.000 -138.193
667000.000 -138.206
668000.000 -138.219
669000.000 -138.232
670000.000 -138.245
671000.000 -138.258
672000.000 -138.271
673000.000 -138.284
674000.000 -138.297
675000.000 -138.310
676000.000 -138.323
677000.000 -138.335
678000.000 -138.348
679000.000 -138.361
680000.000 -138.374
681000.000 -138.387
682000.000 -138.399
683000.000 -138.412
684000.000 -138.425
685000.000 -138.438
686000.000 -138.450
687000.000 -138.463
688000.000 -138.475
689000.000 -138.488
690000.000 -138.501
691000.000 -138.513
692000.000 -138.526
693000.000 -138.538
694000.000 -138.551
695000.000 -138.563
696000.000 -138.576
697000.000 -138.588
698000.000 -138.601
699000.000 -138.613
700000.000 -138.626
701000.000 -138.638
702000.000 -138.650
703000.000 -138.663
704000.000 -138.675
705000.000 -138.688
706000.000 -138.700
707000.000 -138.712
708000.000 -138.724
709000.000 -138.737
710000.000 -138.749
711000.000 -138.761
712000.000 -138.773
713000.000 -138.786
714000.000 -138.798
715000.000 -138.810
716000.000 -138.822
